text,label
"Backend xử lý logic nghiệp vụ truy cập database và trả dữ liệu cho frontend.",web
"REST API tổ chức endpoint theo tài nguyên và dùng các phương thức HTTP như GET POST PUT DELETE.",web
"GET thường dùng để lấy dữ liệu còn POST thường dùng để tạo dữ liệu mới.",web
"JSON là định dạng dữ liệu phổ biến để trao đổi giữa client và server.",web
"Form cho phép người dùng nhập dữ liệu và gửi lên server để xử lý.",web
"Responsive design giúp giao diện hiển thị tốt trên nhiều kích thước màn hình.",web
"Bootstrap là thư viện CSS hỗ trợ xây dựng giao diện nhanh với grid và component sẵn có.",web
"Streamlit giúp tạo ứng dụng web dữ liệu bằng Python với ít code giao diện.",web
"Session state trong Streamlit lưu trạng thái giữa các lần rerun của ứng dụng.",web
"Route xác định URL tương ứng với một chức năng hoặc trang trong web app.",web
"Authentication xác minh danh tính người dùng trước khi cho truy cập hệ thống.",web
"Authorization kiểm tra người dùng có quyền thực hiện hành động hay không.",web
"Cookie lưu thông tin nhỏ ở trình duyệt và thường dùng để duy trì phiên đăng nhập.",web
"CORS kiểm soát việc website ở domain này gọi tài nguyên từ domain khác.",web
"Template engine giúp render HTML động từ dữ liệu phía server.",web
"Web server nhận request từ client và trả về response phù hợp.",web
"API documentation mô tả endpoint tham số request và response để lập trình viên sử dụng.",web
"Validation phía server kiểm tra dữ liệu đầu vào để tránh lỗi và lỗ hổng bảo mật.",web
"Deployment đưa ứng dụng web lên môi trường chạy thật để người dùng truy cập.",web
"Hàm số mô tả quan hệ giữa đầu vào và đầu ra trong toán học.",math
"Đạo hàm biểu diễn tốc độ thay đổi tức thời của hàm số theo biến.",math
"Tích phân có thể dùng để tính diện tích dưới đường cong của hàm số.",math
"Ma trận là mảng số hai chiều được dùng nhiều trong đại số tuyến tính và machine learning.",math
"Vector biểu diễn đại lượng có hướng hoặc danh sách đặc trưng của một mẫu dữ liệu.",math
"Xác suất đo khả năng xảy ra của một biến cố trong không gian mẫu.",math
"Kỳ vọng là giá trị trung bình lý thuyết của một biến ngẫu nhiên.",math
"Phương sai đo mức độ phân tán của dữ liệu quanh giá trị trung bình.",math
"Độ lệch chuẩn là căn bậc hai của phương sai và có cùng đơn vị với dữ liệu.",math
"Phân phối chuẩn có dạng chuông và xuất hiện nhiều trong thống kê.",math
"Hệ phương trình tuyến tính gồm nhiều phương trình bậc nhất với nhiều ẩn.",math
"Định thức giúp xác định một ma trận vuông có khả nghịch hay không.",math
"Ma trận nghịch đảo được dùng để giải hệ phương trình tuyến tính trong một số trường hợp.",math
"Tích vô hướng đo mức độ cùng hướng giữa hai vector.",math
"Khoảng cách Euclidean tính độ dài đường thẳng giữa hai điểm trong không gian.",math
"Trung bình cộng là tổng các giá trị chia cho số lượng quan sát.",math
"Median là giá trị nằm giữa khi sắp xếp dữ liệu theo thứ tự.",math
"Mode là giá trị xuất hiện nhiều nhất trong tập dữ liệu.",math
"Tổ hợp đếm số cách chọn phần tử mà không xét thứ tự.",math
"Chỉnh hợp đếm số cách chọn phần tử có xét thứ tự.",math
"Logarithm là phép toán ngược của lũy thừa và thường dùng để biến tích thành tổng.",math
"Hàm mất mát đo mức độ sai lệch giữa dự đoán của model và giá trị thực.",math
"Gradient là vector các đạo hàm riêng chỉ hướng tăng nhanh nhất của hàm.",math
"Không gian vector gồm các vector có thể cộng với nhau và nhân với số vô hướng.",math
"Tương quan đo mức độ liên hệ tuyến tính giữa hai biến số.",math
