text,label
"A linear equation has variables with power one and forms a straight line.",math
"A system of linear equations contains multiple equations solved together.",math
"The determinant helps decide whether a square matrix has an inverse.",math
"An inverse matrix can solve certain systems of linear equations.",math
"Dot product measures similarity or projection between two vectors.",math
"Euclidean distance measures straight line distance between two points.",math
"Mean median and mode are common measures of central tendency.",math
"Combination counts selections without order while permutation counts ordered selections.",math
"A logarithm is the inverse operation of exponentiation.",math
"The gradient contains partial derivatives and points toward steepest increase.",math
"A loss function measures the difference between prediction and target.",math
"Correlation measures the strength and direction of a linear relationship.",math
"Basic calculus uses derivatives integrals functions graphs and equations.",math
"Algebra and statistics provide mathematical foundations for machine learning.",math
